productname,date,farmprice,retailpricepettah,retailpricedambulla,averagespread
Beans,7/1/2004,69.75,85,98.73,22.12
Carrot,7/1/2004,88.52,110.47,116.11,24.77
Cabbage,7/1/2004,58.72,73.63,81.3,18.74
Tomato,7/1/2004,64.11,87.06,82.13,20.48
Brinjal,7/1/2004,50.44,68.02,64.77,15.95
Pumpkin,7/1/2004,37.7,46.66,49.56,10.41
Snake Gourd,7/1/2004,47.31,61.59,64.93,15.95
Green Chilli,7/1/2004,101.23,125.18,128.74,25.73
Lime,7/1/2004,109.77,137.08,148.44,32.99
Beans,8/1/2004,59.34,74.02,75.57,15.45
Carrot,8/1/2004,70.33,98.11,92.11,24.78
Cabbage,8/1/2004,63.88,82.6,89.96,22.4
Tomato,8/1/2004,80.51,109.11,101.15,24.62
Brinjal,8/1/2004,45.06,56.62,61.01,13.75
Pumpkin,8/1/2004,32.18,39.94,44.47,10.02
Snake Gourd,8/1/2004,50.56,64.95,64.5,14.16
Green Chilli,8/1/2004,84.14,102.41,119.52,26.82
Lime,8/1/2004,107.04,146.3,147.82,40.02
Beans,9/1/2004,64.12,85.25,81.62,19.31
Carrot,9/1/2004,76.41,100.69,96.07,21.97
Cabbage,9/1/2004,62.36,86.43,89.13,25.42
Tomato,9/1/2004,69.73,91.36,97.65,24.78
Brinjal,9/1/2004,43.42,59.6,61.69,17.22
Pumpkin,9/1/2004,40.96,56.61,58.91,16.8
Snake Gourd,9/1/2004,46.49,64.17,61.07,16.13
Green Chilli,9/1/2004,91.39,115.95,130.99,32.08
Lime,9/1/2004,104.67,141.62,149.14,40.71
Beans,10/1/2004,59.34,78.67,84.01,22
Carrot,10/1/2004,79.77,101.45,101.68,21.8
Cabbage,10/1/2004,51.11,69.5,68.8,18.04
Tomato,10/1/2004,77.48,95.06,103.48,21.79
Brinjal,10/1/2004,51.26,64.87,73.22,17.79
Pumpkin,10/1/2004,37.18,45.62,52.73,11.99
Snake Gourd,10/1/2004,38.48,48.69,55.78,13.76
Green Chilli,10/1/2004,81.25,105.64,115.71,29.42
Lime,10/1/2004,101.93,123.19,139.89,29.61
Beans,11/1/2004,60.71,78.06,85.85,21.24
Carrot,11/1/2004,75.01,93.93,95.07,19.49
Cabbage,11/1/2004,53.28,73.78,74.17,20.7
Tomato,11/1/2004,67.63,92.16,92.35,24.62
Brinjal,11/1/2004,50.33,68.99,65.91,17.12
Pumpkin,11/1/2004,36.01,49.16,46.47,11.8
Snake Gourd,11/1/2004,38.17,48.82,49,10.74
Green Chilli,11/1/2004,76.01,94.54,102.28,22.4
Lime,11/1/2004,95.23,117,128.44,27.49
Beans,12/1/2004,61.38,81.72,88.72,23.84
Carrot,12/1/2004,66.67,86.98,91.35,22.49
Cabbage,12/1/2004,54.8,68.96,73.4,16.38
Tomato,12/1/2004,64.15,89.61,80.31,20.81
Brinjal,12/1/2004,56.5,75.28,81.06,21.67
Pumpkin,12/1/2004,39.19,48.73,53.32,11.84
Snake Gourd,12/1/2004,45.42,59.34,65.43,16.97
Green Chilli,12/1/2004,96.48,121.63,122.32,25.49
Lime,12/1/2004,96.09,128.97,131.52,34.16
Beans,1/1/2005,66.14,86.45,86.9,20.54
Carrot,1/1/2005,82.52,106.65,116.58,29.1
Cabbage,1/1/2005,65.67,79.63,91.58,19.93
Tomato,1/1/2005,68.98,88.18,86.29,18.26
Brinjal,1/1/2005,49.02,62.1,65.43,14.74
Pumpkin,1/1/2005,45.31,56.27,63.9,14.77
Snake Gourd,1/1/2005,47.29,61.68,65.66,16.38
Green Chilli,1/1/2005,87.67,117.2,111.37,26.62
Lime,1/1/2005,125.73,164.08,168.01,40.32
Beans,2/1/2005,80.29,101.11,115.73,28.13
Carrot,2/1/2005,93.51,113.57,121.16,23.85
Cabbage,2/1/2005,60.71,82.58,83.09,22.12
Tomato,2/1/2005,79.5,110.01,100.9,25.96
Brinjal,2/1/2005,56.71,79.31,77.97,21.93
Pumpkin,2/1/2005,43.25,56.43,54.86,12.4
Snake Gourd,2/1/2005,52.25,71.89,65.76,16.58
Green Chilli,2/1/2005,96.26,132.42,138.84,39.37
Lime,2/1/2005,111.45,138.89,151.29,33.64
Beans,3/1/2005,62.83,76.44,87.69,19.24
Carrot,3/1/2005,84.09,109.87,105.99,23.84
Cabbage,3/1/2005,59.19,81.86,75.68,19.58
Tomato,3/1/2005,84.25,109.46,112.9,26.93
Brinjal,3/1/2005,54.84,74.68,78.17,21.58
Pumpkin,3/1/2005,44.12,57.66,62.36,15.89
Snake Gourd,3/1/2005,57.02,71.19,75.48,16.31
Green Chilli,3/1/2005,94.1,113.02,122.57,23.7
Lime,3/1/2005,114.43,159.28,151.39,40.9
Beans,4/1/2005,75.47,92.27,104.24,22.78
Carrot,4/1/2005,93.7,129.32,120.96,31.44
Cabbage,4/1/2005,61.71,75.66,83.17,17.7
Tomato,4/1/2005,81.34,113.28,109.55,30.07
Brinjal,4/1/2005,60.97,77.22,77.41,16.34
Pumpkin,4/1/2005,38.13,53.36,54.52,15.81
Snake Gourd,4/1/2005,49.72,69.47,64.62,17.33
Green Chilli,4/1/2005,97.03,126.27,129.1,30.65
Lime,4/1/2005,101.59,136.08,139.35,36.12
Beans,5/1/2005,61.6,77.55,77.15,15.75
Carrot,5/1/2005,87.7,117.69,122.7,32.49
Cabbage,5/1/2005,65.13,90.46,88.98,24.59
Tomato,5/1/2005,83.55,112.76,116.87,31.27
Brinjal,5/1/2005,54.14,69.82,76.66,19.1
Pumpkin,5/1/2005,38.42,53.41,49.4,12.98
Snake Gourd,5/1/2005,49.63,68.72,62.77,16.11
Green Chilli,5/1/2005,109.41,134.53,151.26,33.48
Lime,5/1/2005,119.83,155.91,173.21,44.73
Beans,6/1/2005,73.72,101.06,100.2,26.91
Carrot,6/1/2005,71.08,88.2,91.99,19.02
Cabbage,6/1/2005,69.51,96.88,87.73,22.79
Tomato,6/1/2005,80.16,106.23,104.74,25.33
Brinjal,6/1/2005,58.83,75.97,83.42,20.86
Pumpkin,6/1/2005,39.82,50.61,55.54,13.26
Snake Gourd,6/1/2005,54.4,76.16,74.99,21.17
Green Chilli,6/1/2005,92.83,124.17,126.38,32.44
Lime,6/1/2005,105.16,141.33,133.34,32.18
Beans,7/1/2005,61.71,85.73,87.29,24.8
Carrot,7/1/2005,82.59,103.12,110.18,24.06
Cabbage,7/1/2005,59.95,80.7,86.11,23.46
Tomato,7/1/2005,83.68,105.06,113.45,25.57
Brinjal,7/1/2005,49.05,64.83,69.41,18.07
Pumpkin,7/1/2005,40.13,53.57,51.38,12.34
Snake Gourd,7/1/2005,50.86,67.18,66.96,16.21
Green Chilli,7/1/2005,102.07,135.81,139.81,35.74
Lime,7/1/2005,108.97,136.51,143.45,31.01
Beans,8/1/2005,58.91,74.21,81.81,19.1
Carrot,8/1/2005,76.48,107.05,107.37,30.73
Cabbage,8/1/2005,57.12,79.4,79.96,22.56
Tomato,8/1/2005,66.31,84.04,90.02,20.72
Brinjal,8/1/2005,47.88,65.44,60.05,14.86
Pumpkin,8/1/2005,41.95,54.07,56.49,13.33
Snake Gourd,8/1/2005,38.97,48.41,53.27,11.87
Green Chilli,8/1/2005,95.13,124.81,135.02,34.79
Lime,8/1/2005,92.84,121.06,133.25,34.32
Beans,9/1/2005,66.6,92.71,90.48,25
Carrot,9/1/2005,86.86,118.55,119.44,32.14
Cabbage,9/1/2005,61.29,84.73,81.52,21.84
Tomato,9/1/2005,62.63,83.87,88.96,23.78
Brinjal,9/1/2005,51.36,66.87,68.89,16.52
Pumpkin,9/1/2005,38.44,48.61,53.37,12.55
Snake Gourd,9/1/2005,48.82,68.31,61.52,16.1
Green Chilli,9/1/2005,92.48,117.2,119.48,25.86
Lime,9/1/2005,111.44,147.45,140,32.28
Beans,10/1/2005,71.41,93.91,94.99,23.04
Carrot,10/1/2005,82.01,112.9,104.7,26.79
Cabbage,10/1/2005,57.68,76.45,75.01,18.05
Tomato,10/1/2005,67.86,83.08,88.25,17.8
Brinjal,10/1/2005,50.13,62.52,68.96,15.61
Pumpkin,10/1/2005,45.14,59.83,64.03,16.79
Snake Gourd,10/1/2005,38.29,51.69,53.64,14.38
Green Chilli,10/1/2005,84.8,114.3,117.38,31.04
Lime,10/1/2005,121.1,161.25,171.96,45.51
Beans,11/1/2005,71.15,98.3,103.01,29.5
Carrot,11/1/2005,76.43,105.34,104.78,28.63
Cabbage,11/1/2005,59.23,80.31,85.62,23.74
Tomato,11/1/2005,69.54,85.59,88.3,17.4
Brinjal,11/1/2005,47.28,62.52,59.64,13.8
Pumpkin,11/1/2005,39.96,53.19,55.21,14.24
Snake Gourd,11/1/2005,43.85,55.9,58.82,13.51
Green Chilli,11/1/2005,95.46,130.71,127.87,33.83
Lime,11/1/2005,105.65,143.4,145.48,38.79
Beans,12/1/2005,62.84,84.35,80.16,19.41
Carrot,12/1/2005,78.61,98.42,100.98,21.09
Cabbage,12/1/2005,55.37,76.72,77.91,21.94
Tomato,12/1/2005,74.91,103.97,105.61,29.88
Brinjal,12/1/2005,51.19,70.18,64.32,16.06
Pumpkin,12/1/2005,39.2,47.61,51.97,10.59
Snake Gourd,12/1/2005,44.28,60.16,60.32,15.96
Green Chilli,12/1/2005,98.12,129.55,125.01,29.16
Lime,12/1/2005,117.23,161.4,152.18,39.56
Beans,1/1/2006,60.05,82.96,81.82,22.34
Carrot,1/1/2006,80.89,102.23,115.99,28.22
Cabbage,1/1/2006,69.09,82.93,89.28,17.02
Tomato,1/1/2006,84.02,105.01,121.78,29.38
Brinjal,1/1/2006,69.02,89.36,89.48,20.4
Pumpkin,1/1/2006,42.54,51.27,54.44,10.32
Snake Gourd,1/1/2006,48.66,62.04,62.85,13.79
Green Chilli,1/1/2006,101.82,142.42,138.69,38.74
Lime,1/1/2006,114.25,159.02,157.05,43.79
Beans,2/1/2006,68.48,93.65,93.3,24.99
Carrot,2/1/2006,95.08,125.29,132.51,33.82
Cabbage,2/1/2006,68.06,83.01,90.79,18.84
Tomato,2/1/2006,84.81,105.32,118.28,26.99
Brinjal,2/1/2006,67.05,89.3,95.49,25.34
Pumpkin,2/1/2006,48.95,60.36,61.7,12.08
Snake Gourd,2/1/2006,49.31,61.25,67.96,15.29
Green Chilli,2/1/2006,106.65,148.81,142.66,39.08
Lime,2/1/2006,125.7,155.21,169.52,36.67
Beans,3/1/2006,73.04,93.73,101.3,24.47
Carrot,3/1/2006,106.37,143.54,143.11,36.96
Cabbage,3/1/2006,59.08,76.7,77.86,18.2
Tomato,3/1/2006,85.04,102.52,115.31,23.87
Brinjal,3/1/2006,69.82,88.09,88.15,18.3
Pumpkin,3/1/2006,50.86,67.54,65.08,15.45
Snake Gourd,3/1/2006,57.15,76.25,79.62,20.79
Green Chilli,3/1/2006,103.14,141.36,133.4,34.24
Lime,3/1/2006,109.4,133.02,157.72,35.97
Beans,4/1/2006,70.2,95.08,100.25,27.46
Carrot,4/1/2006,91.96,116,122.55,27.32
Cabbage,4/1/2006,71.84,95.17,95.25,23.37
Tomato,4/1/2006,93.95,113.25,134.23,29.79
Brinjal,4/1/2006,55.75,76.22,73.39,19.06
Pumpkin,4/1/2006,41.79,55.18,56.56,14.08
Snake Gourd,4/1/2006,49.06,61.42,62.34,12.82
Green Chilli,4/1/2006,88.79,109.76,121.02,26.6
Lime,4/1/2006,116.59,146.52,152.25,32.8
Beans,5/1/2006,79.8,101.09,106.57,24.03
Carrot,5/1/2006,94,120.3,117.94,25.12
Cabbage,5/1/2006,68.09,85.44,86.96,18.11
Tomato,5/1/2006,83.63,116.8,107.78,28.66
Brinjal,5/1/2006,71.35,86.77,89.32,16.7
Pumpkin,5/1/2006,47.71,60.24,66.74,15.78
Snake Gourd,5/1/2006,51.88,63.99,75.1,17.66
Green Chilli,5/1/2006,105.02,127.7,145.06,31.36
Lime,5/1/2006,129.97,170.88,163.2,37.07
Beans,6/1/2006,71.98,89.91,90.68,18.31
Carrot,6/1/2006,88.32,112.4,117.82,26.79
Cabbage,6/1/2006,69.39,84.23,96.66,21.06
Tomato,6/1/2006,70.31,87.26,101.35,23.99
Brinjal,6/1/2006,57.36,74.84,76.36,18.24
Pumpkin,6/1/2006,50.9,70.06,66.42,17.34
Snake Gourd,6/1/2006,50.17,63.04,66.37,14.54
Green Chilli,6/1/2006,103.84,144.46,143.07,39.92
Lime,6/1/2006,127.93,171.9,171.1,43.57
Beans,7/1/2006,65.72,83.19,85.16,18.45
Carrot,7/1/2006,95.66,119.89,137.53,33.05
Cabbage,7/1/2006,76.48,94.5,100.94,21.24
Tomato,7/1/2006,80.89,109.51,106.82,27.28
Brinjal,7/1/2006,55.71,73.77,75.7,19.02
Pumpkin,7/1/2006,40.64,51.83,54.89,12.72
Snake Gourd,7/1/2006,41.68,54.33,57.9,14.43
Green Chilli,7/1/2006,100.45,137.34,142.09,39.26
Lime,7/1/2006,120.29,165.41,163.07,43.95
Beans,8/1/2006,74.12,102.19,96.07,25.01
Carrot,8/1/2006,78.94,98.77,106.5,23.7
Cabbage,8/1/2006,69.41,88.81,87.07,18.53
Tomato,8/1/2006,75.78,95.67,104.88,24.49
Brinjal,8/1/2006,52.47,64.55,74.93,17.27
Pumpkin,8/1/2006,43.81,56.37,57.94,13.34
Snake Gourd,8/1/2006,51.25,63.14,74.1,17.37
Green Chilli,8/1/2006,91.73,112.82,118.65,24
Lime,8/1/2006,112.88,136.77,145.14,28.08
Beans,9/1/2006,67.21,91.77,90.48,23.92
Carrot,9/1/2006,87.17,117.53,124.03,33.61
Cabbage,9/1/2006,59.24,74.06,85.31,20.44
Tomato,9/1/2006,78.88,108.94,110.12,30.65
Brinjal,9/1/2006,49.72,64.52,68.91,16.99
Pumpkin,9/1/2006,42.5,58.37,60.01,16.69
Snake Gourd,9/1/2006,43.17,52.59,54.22,10.24
Green Chilli,9/1/2006,99.03,127.25,134.36,31.78
Lime,9/1/2006,105.43,128.47,141.08,29.34
Beans,10/1/2006,65.88,90.33,87.97,23.27
Carrot,10/1/2006,82.96,105.87,117.86,28.91
Cabbage,10/1/2006,71.68,89.17,94.68,20.24
Tomato,10/1/2006,77.15,99.63,109.12,27.22
Brinjal,10/1/2006,62,84.71,81.43,21.07
Pumpkin,10/1/2006,43,54.95,62.22,15.58
Snake Gourd,10/1/2006,51.56,63.24,70.22,15.17
Green Chilli,10/1/2006,85.11,115.25,111.06,28.04
Lime,10/1/2006,125.18,159.91,157.94,33.74
Beans,11/1/2006,75.5,99.33,103.21,25.77
Carrot,11/1/2006,70.31,96.37,101.32,28.53
Cabbage,11/1/2006,61.98,85.51,79.66,20.61
Tomato,11/1/2006,74.04,98.17,94.91,22.5
Brinjal,11/1/2006,62.31,76.83,89.86,21.03
Pumpkin,11/1/2006,48.46,62.17,63.19,14.22
Snake Gourd,11/1/2006,53.15,72.58,73.78,20.03
Green Chilli,11/1/2006,95.36,114.46,126.95,25.34
Lime,11/1/2006,111.94,154.57,142.44,36.56
Beans,12/1/2006,68.69,88.38,94.52,22.76
Carrot,12/1/2006,84.89,108.91,109.26,24.2
Cabbage,12/1/2006,52.58,69.08,69.24,16.58
Tomato,12/1/2006,81.9,108.92,118.51,31.82
Brinjal,12/1/2006,56.12,72.47,76.49,18.36
Pumpkin,12/1/2006,44.44,56.11,57.56,12.4
Snake Gourd,12/1/2006,45.62,58.81,60.72,14.15
Green Chilli,12/1/2006,106.09,130.98,141.89,30.34
Lime,12/1/2006,120.67,168.43,161.45,44.27
Beans,1/1/2007,82,110.46,107.89,27.17
Carrot,1/1/2007,91.76,127.19,125.03,34.35
Cabbage,1/1/2007,63.34,87.76,81.13,21.1
Tomato,1/1/2007,74.78,94.19,95.55,20.09
Brinjal,1/1/2007,61.81,83.94,82.4,21.36
Pumpkin,1/1/2007,46.88,58.41,64.09,14.37
Snake Gourd,1/1/2007,58.74,76.56,76.38,17.73
Green Chilli,1/1/2007,103.57,126.9,139.63,29.7
Lime,1/1/2007,143.16,191.53,200.49,52.85
Beans,2/1/2007,74.91,97.63,99.92,23.86
Carrot,2/1/2007,97.35,133.06,133.47,35.92
Cabbage,2/1/2007,71.13,96.57,98.81,26.56
Tomato,2/1/2007,89.94,107.98,115.75,21.93
Brinjal,2/1/2007,61.73,85.45,77.3,19.65
Pumpkin,2/1/2007,49.37,63.08,62.28,13.31
Snake Gourd,2/1/2007,60.76,77.15,82.97,19.3
Green Chilli,2/1/2007,127.14,155.18,168.44,34.67
Lime,2/1/2007,136.53,188.15,183.91,49.5
Beans,3/1/2007,76.26,99.33,107.62,27.21
Carrot,3/1/2007,112.46,139.84,155.11,35.02
Cabbage,3/1/2007,73.85,89.26,94.51,18.04
Tomato,3/1/2007,85.91,113.65,119.01,30.42
Brinjal,3/1/2007,58.26,79.89,83.47,23.42
Pumpkin,3/1/2007,47.24,65.5,66.26,18.64
Snake Gourd,3/1/2007,53.42,64.78,73.86,15.9
Green Chilli,3/1/2007,125.06,157.22,163.57,35.33
Lime,3/1/2007,123.87,172.1,158.7,41.53
Beans,4/1/2007,92.99,118.33,123.21,27.78
Carrot,4/1/2007,109.74,145.66,157.29,41.74
Cabbage,4/1/2007,74.75,101.37,94.95,23.41
Tomato,4/1/2007,81.79,105.7,117.98,30.05
Brinjal,4/1/2007,76.04,93.15,101.86,21.46
Pumpkin,4/1/2007,55.42,67.25,75.78,16.1
Snake Gourd,4/1/2007,57.79,76.72,73.77,17.45
Green Chilli,4/1/2007,103.45,124.73,143.43,30.63
Lime,4/1/2007,116.82,147.8,146.54,30.35
Beans,5/1/2007,75.03,103.12,102.51,27.79
Carrot,5/1/2007,105.58,147.64,148.98,42.73
Cabbage,5/1/2007,60.78,75.22,86.3,19.98
Tomato,5/1/2007,87.56,110.1,111.07,23.02
Brinjal,5/1/2007,61.36,81.75,88.68,23.86
Pumpkin,5/1/2007,47.38,64.31,67.85,18.7
Snake Gourd,5/1/2007,64.2,82.65,83.57,18.91
Green Chilli,5/1/2007,121.52,164.07,160.9,40.96
Lime,5/1/2007,125.47,164.74,164.03,38.92
Beans,6/1/2007,82.24,109.13,104.17,24.41
Carrot,6/1/2007,90.74,120.49,118.96,28.98
Cabbage,6/1/2007,66.97,88.96,89.6,22.31
Tomato,6/1/2007,96.19,132.72,131.48,35.91
Brinjal,6/1/2007,65.97,86.55,91.66,23.14
Pumpkin,6/1/2007,48.36,64.88,61.84,15
Snake Gourd,6/1/2007,50.51,65.9,71.63,18.26
Green Chilli,6/1/2007,118.51,165.37,161.99,45.17
Lime,6/1/2007,139.43,167.58,192.92,40.82
Beans,7/1/2007,79.85,107.72,113.39,30.71
Carrot,7/1/2007,79.16,96.29,103.45,20.71
Cabbage,7/1/2007,79.01,98.41,104.62,22.5
Tomato,7/1/2007,80.97,100.89,112.14,25.54
Brinjal,7/1/2007,53.98,74,77.4,21.72
Pumpkin,7/1/2007,41.73,51.89,52.58,10.51
Snake Gourd,7/1/2007,51.99,65.81,70.29,16.06
Green Chilli,7/1/2007,111.92,148.91,147.27,36.17
Lime,7/1/2007,144.08,172.97,188.85,36.83
Beans,8/1/2007,75.65,97.58,108.33,27.3
Carrot,8/1/2007,81.05,107.16,114.03,29.54
Cabbage,8/1/2007,76.2,101.85,109.3,29.37
Tomato,8/1/2007,82.27,98.83,118.44,26.36
Brinjal,8/1/2007,57.38,76.3,82.06,21.8
Pumpkin,8/1/2007,40.55,56.27,58.6,16.89
Snake Gourd,8/1/2007,53.22,69.5,74.48,18.77
Green Chilli,8/1/2007,113.78,148.88,161.41,41.36
Lime,8/1/2007,119.41,163.38,154.59,39.58
Beans,9/1/2007,89.48,113.26,124.56,29.43
Carrot,9/1/2007,91.77,118.37,131.47,33.15
Cabbage,9/1/2007,72.05,88.96,91.55,18.2
Tomato,9/1/2007,79.55,100.16,101.66,21.36
Brinjal,9/1/2007,58.31,71.36,76.71,15.72
Pumpkin,9/1/2007,40.15,52.26,50.94,11.45
Snake Gourd,9/1/2007,44.65,54.43,62.74,13.94
Green Chilli,9/1/2007,99.88,127.14,126.49,26.94
Lime,9/1/2007,105.96,133.23,143.43,32.37
Beans,10/1/2007,83.98,103.71,116.21,25.98
Carrot,10/1/2007,84.54,113.85,107.73,26.25
Cabbage,10/1/2007,62.52,79.27,86.75,20.49
Tomato,10/1/2007,82.28,110.05,106.28,25.88
Brinjal,10/1/2007,61.99,79.79,78.96,17.38
Pumpkin,10/1/2007,36.59,46.1,45.79,9.35
Snake Gourd,10/1/2007,47.61,64.17,68.65,18.8
Green Chilli,10/1/2007,128.93,156.9,167.39,33.21
Lime,10/1/2007,117.68,142.38,166.26,36.64
Beans,11/1/2007,89.33,122.23,123.93,33.75
Carrot,11/1/2007,96.43,120.06,122.47,24.83
Cabbage,11/1/2007,58.05,76.18,81.71,20.9
Tomato,11/1/2007,91.22,120.41,127.45,32.71
Brinjal,11/1/2007,63.93,86.85,80.34,19.66
Pumpkin,11/1/2007,50.08,69.78,65.67,17.65
Snake Gourd,11/1/2007,45.12,56.45,63.32,14.77
Green Chilli,11/1/2007,117.3,157.97,166.25,44.81
Lime,11/1/2007,127.27,160.79,164.14,35.19
Beans,12/1/2007,78.53,99.43,99.95,21.16
Carrot,12/1/2007,94.98,125.23,124.86,30.06
Cabbage,12/1/2007,74.09,91.05,94.84,18.85
Tomato,12/1/2007,88.82,122.53,127.04,35.97
Brinjal,12/1/2007,65.64,80.22,83.45,16.2
Pumpkin,12/1/2007,48.83,66.13,68.55,18.51
Snake Gourd,12/1/2007,46.42,59.97,64.91,16.02
Green Chilli,12/1/2007,108.34,142.21,146.5,36.02
Lime,12/1/2007,120.6,167.43,165.62,45.93
Beans,1/1/2008,67.62,84.85,90.62,20.11
Carrot,1/1/2008,86.77,105.04,118.47,24.99
Cabbage,1/1/2008,62.91,81.29,85.29,20.38
Tomato,1/1/2008,107.32,142.76,138.38,33.25
Brinjal,1/1/2008,64.79,87.18,92.95,25.28
Pumpkin,1/1/2008,46.19,60.47,66.53,17.31
Snake Gourd,1/1/2008,55.44,74.79,77.49,20.7
Green Chilli,1/1/2008,121.35,162.3,172.68,46.14
Lime,1/1/2008,136.04,178.55,184.5,45.49
Beans,2/1/2008,85.36,107.32,107.35,21.97
Carrot,2/1/2008,97.3,133.68,130.94,35.01
Cabbage,2/1/2008,92.36,123.6,126.36,32.62
Tomato,2/1/2008,82.05,100.99,117.18,27.04
Brinjal,2/1/2008,70.05,94.42,92.85,23.58
Pumpkin,2/1/2008,48.31,60.79,65.46,14.81
Snake Gourd,2/1/2008,53.26,69.89,76.01,19.69
Green Chilli,2/1/2008,107.32,144.94,150.65,40.48
Lime,2/1/2008,152.95,202.08,219.77,57.98
Beans,3/1/2008,85.01,114.81,117.75,31.27
Carrot,3/1/2008,99.76,130.01,128.64,29.56
Cabbage,3/1/2008,81,107.47,111.69,28.58
Tomato,3/1/2008,99.1,121.29,143.65,33.37
Brinjal,3/1/2008,74.3,100.49,93.73,22.81
Pumpkin,3/1/2008,45.26,54.67,65.01,14.58
Snake Gourd,3/1/2008,56.61,69.24,78.76,17.39
Green Chilli,3/1/2008,100.05,139.23,138.02,38.58
Lime,3/1/2008,147.14,199.4,196.09,50.61
Beans,4/1/2008,82.79,105.02,113.36,26.4
Carrot,4/1/2008,92,125.35,118.24,29.79
Cabbage,4/1/2008,75.74,104.99,100.12,26.82
Tomato,4/1/2008,84.1,116.84,119.08,33.86
Brinjal,4/1/2008,67.88,94.16,94.09,26.25
Pumpkin,4/1/2008,48.54,63.7,63.88,15.25
Snake Gourd,4/1/2008,62.74,83.87,85.67,22.03
Green Chilli,4/1/2008,114.35,158.9,160.44,45.32
Lime,4/1/2008,147.5,201.26,200.12,53.19
Beans,5/1/2008,84.34,111.56,116.2,29.54
Carrot,5/1/2008,94.69,122.65,123.35,28.31
Cabbage,5/1/2008,65.17,87.84,83.81,20.66
Tomato,5/1/2008,90.15,122.24,121.12,31.53
Brinjal,5/1/2008,69.71,89.79,95.54,22.96
Pumpkin,5/1/2008,58.32,70.73,73.88,13.98
Snake Gourd,5/1/2008,64.4,78.27,91.03,20.25
Green Chilli,5/1/2008,115.28,145.78,162.3,38.76
Lime,5/1/2008,125.02,168.44,172.21,45.31
Beans,6/1/2008,86.75,116.66,117.81,30.48
Carrot,6/1/2008,118.16,144.07,165.99,36.87
Cabbage,6/1/2008,75.12,101.54,103.32,27.31
Tomato,6/1/2008,89.66,122.51,124.71,33.95
Brinjal,6/1/2008,65.81,84.27,95.26,23.96
Pumpkin,6/1/2008,44.09,60.14,60.08,16.02
Snake Gourd,6/1/2008,55.5,68.93,69.86,13.9
Green Chilli,6/1/2008,122.46,166.18,164.13,42.7
Lime,6/1/2008,147.92,205.63,193.69,51.74
Beans,7/1/2008,96.56,121.89,135.73,32.25
Carrot,7/1/2008,103.07,141.91,148.16,41.96
Cabbage,7/1/2008,68.69,84.54,93.59,20.38
Tomato,7/1/2008,88.43,110.7,125.56,29.7
Brinjal,7/1/2008,67.19,89.77,94.52,24.96
Pumpkin,7/1/2008,48.18,58.4,61.18,11.61
Snake Gourd,7/1/2008,55.75,68.53,72.08,14.56
Green Chilli,7/1/2008,116.87,147.35,164.27,38.94
Lime,7/1/2008,126.57,171.07,183.4,50.67
Beans,8/1/2008,78.25,104.12,108.4,28.01
Carrot,8/1/2008,97.57,127.28,141.07,36.61
Cabbage,8/1/2008,74.79,98.99,96.54,22.97
Tomato,8/1/2008,93.58,124.76,117.15,27.38
Brinjal,8/1/2008,58.78,82.1,78.85,21.69
Pumpkin,8/1/2008,46.85,60.32,60.7,13.66
Snake Gourd,8/1/2008,63.39,86.14,89.39,24.38
Green Chilli,8/1/2008,99.76,130.64,136.13,33.62
Lime,8/1/2008,102.44,133.97,148.23,38.66
Beans,9/1/2008,75.05,91.79,97.34,19.52
Carrot,9/1/2008,111.4,146.47,160.62,42.14
Cabbage,9/1/2008,66.64,81.18,86.34,17.12
Tomato,9/1/2008,83.88,112.34,112.53,28.56
Brinjal,9/1/2008,68.55,84.85,92.94,20.34
Pumpkin,9/1/2008,45.2,56.47,58.41,12.24
Snake Gourd,9/1/2008,49.27,60.31,70.99,16.38
Green Chilli,9/1/2008,102.29,132.86,142.63,35.46
Lime,9/1/2008,117.4,145.67,166.95,38.91
Beans,10/1/2008,78.6,95.78,101.8,20.19
Carrot,10/1/2008,88.84,109.78,122.03,27.06
Cabbage,10/1/2008,67.47,88.2,90.25,21.76
Tomato,10/1/2008,79.22,109.53,109.06,30.08
Brinjal,10/1/2008,51.9,69.97,65.92,16.05
Pumpkin,10/1/2008,44.76,59.12,60.22,14.91
Snake Gourd,10/1/2008,48.97,65.57,64.72,16.17
Green Chilli,10/1/2008,114.13,157.27,153.1,41.06
Lime,10/1/2008,121.84,166.51,154.7,38.76
Beans,11/1/2008,85.02,107.81,116.17,26.97
Carrot,11/1/2008,88.67,112.19,127.37,31.11
Cabbage,11/1/2008,79.16,95.31,109.16,23.08
Tomato,11/1/2008,76.58,93.32,96.44,18.3
Brinjal,11/1/2008,72.38,89.73,102.55,23.76
Pumpkin,11/1/2008,48.64,62.7,68.18,16.8
Snake Gourd,11/1/2008,46.25,60.64,64.77,16.45
Green Chilli,11/1/2008,113.27,146.88,144.99,32.67
Lime,11/1/2008,132.57,178.19,181.61,47.33
Beans,12/1/2008,81.54,113.09,108.55,29.28
Carrot,12/1/2008,102.33,136.17,131.38,31.44
Cabbage,12/1/2008,66.55,84.72,94.58,23.1
Tomato,12/1/2008,93.29,120.77,120.02,27.1
Brinjal,12/1/2008,66.58,91.34,95.27,26.72
Pumpkin,12/1/2008,37.9,52.94,50.08,13.61
Snake Gourd,12/1/2008,53.07,65.55,75.18,17.3
Green Chilli,12/1/2008,109.58,136.84,147.07,32.38
Lime,12/1/2008,125.38,156.65,168.8,37.35
